name,nickname,email,twitter,facebook
PacificVis 2022 Papers Co-chairs,papers,pvis2022_papers,,
PacificVis 2022 Visualizaton Notes Co-chairs,notes,pvis2022_notes,,
PacificVis 2022 Posters Co-chairs,posters,pvis2022_posters,,
For inquiries about submissions,submissions,pvis2022_submissions,,
PacificVis 2022 Contests Co-chairs,contest,pvis2022_contest,,
PacificVis 2022 Registration Chair,visa,pvis2022_visa,,
Publicity,publicity,,@PacificVis,@PacificVis
